task,model,full_score,gap_to_best
regression,RandomForest,0.7123329981819231,0.0
regression,TabPFN,0.701934686659447,0.010398311522476056
regression,XGBoost,0.6939733444389801,0.018359653742943016
regression,LightGBM,0.6816190078716282,0.03071399031029487
regression,ElasticNet,0.6711160883889983,0.041216909792924805
regression,SVR_rbf,0.6252129596449331,0.08712003853699002
regression,Ridge,0.5908993833170102,0.12143361486491289
regression,MLP,0.4990522657469839,0.21328073243493917
classification,RandomForest,0.7551902958152958,0.0
classification,XGBoost,0.7369137806637807,0.018276515151515182
classification,LightGBM,0.7267496392496392,0.02844065656565664
classification,LogReg,0.7192099567099567,0.035980339105339154
classification,SVM_rbf,0.7033955627705628,0.05179473304473303
classification,MLP,0.6964736652236653,0.05871663059163057
classification,TabPFN,0.6942866161616161,0.06090367965367971
